review,ulasan
,"Kurir e pelayanan sangat sangat buruk kak...dulu"" pakai ninja pelayanan baik.sekarang sangat"" buruk.."
,Kwalitas sangat2 jelek sekali
,"Produk yg dikirim bermasalah, ketika pengajuan komplain, penjual menolak pengajuan REFUND saya."
,"Responnya kurang bagus , ada salah satu host lifenya judes"
,"Saya merasa kualitas layanan sangat rendah. Tanggal 6 Feb saya pesan : 4 pcs (setelah pastikan bahwa barang ready), senilai 5jutaan. Pada tanggal 12 Feb (6 hari kemudian) baru saya dikonfirmasi bahwa barang kosong dan apakah saya bersedia menunggu sampai tanggal 16 Feb. Dengan berat hati saya jawab ok karena jika membeli di lain tempat, waktu pengiriman juga kira2 sama. Ternyata tanggal 16 Feb barang belum dikirim. Saya menunggu sampai tanggal 21 Feb baru menerima barangnya. Secara keseluruhan saya menunggu 15 hari untuk mendapatkan barangnya. Padahal barang mau dikirim jauh ke luar kota dan ditunggu untuk dipakai. Karena sudah membeli ini, orang di sana juga tidak bisa membeli yang lain. Jika sejak awal barang tidak ready, jangan konfirmasikan barang ready. Selain itu chat lambat sekali dibalas dan tidak menjawab pertanyaan. Selalu menjawab akan check ke tim terkait. Dan balasannya lama. Ada yang tidak dijawab sama sekali. Kurir juga tidak bisa dilacak. Benar-benar stress. Pengalaman yang sangat tidak nyaman dan bikin kapok."
,Barangnya ga lumayan oke. Cuma pelayanannya ga banget
,setelah pemakaian beberapa hari cukup lemes .hahaha Pernya kelewat empuk sampe gak bisa nahan badan saya padahal cuma 50kg. ada harga ada rupa jangan berharap lebih dan membandingkan dengan brand ternama
,Sy beli kasur lateks dg meng-klik gambar yg di-iklankan ternyata yg dikirim bukan kasur lateks tapi kasur Air-cool Dream-box. Sy merasa tertipu oleh penjual dg cara mengiklankan kasur lateks tapi yg dijual kasur bukan lateks.
,Gk terlalu bagus busah agak keras pengerimany lambat hampir 1 bulan nunggu😏
,barang sesuai deskripsi... mantap. pengiriman cepat.
,"Huhu ga exfect sebagus ini , next mau beli yg series centurion"
,Sesuai pesanan tidak di buat kecewa
,Hijaunya hijau army cakep pooool. Gak ada raincovernya. Semoga awet 😍
,cpt sampai . n sesuai . suka deh. makasih
,"ternyata tidak bisa di makan, rasanya tidak enak tapi bisa jadi ayang yang suka meluk dari belakang"
,"Thankyou banget tokonya ramah banget respon juga cepet, sblumnya marah karna barang belum d kirim kirim padahal Sabtu Minggu libur maaf ka btw makasih udah Dateng cepet paketnya besok bisa di pake🫶"
,Muat banyak barang!. Nyaman dipakai 👍. Harga Terjangkau 🤑. Produk sesuai Ekspektasi.
,Paketnya sudah datang dan tidak ada rusak/cacat pada barangya
,Produk sesuai Ekspektasi. Nyaman dipaka
,"modelnya emang oke, tp klaim volume 50 liter sepertinya kurang tepat. mungkin 35+5? dan di foto adatulisan include rain cover. ternyata di deskrisi tanpa rain cover."
,"respon cepat, barang bagus, harga murah terma kasih sekali"
,Cakep bangett warna hijaunya hijau army🥰
,"bahannya bagus, kuat"
,Produk sesuai Ekspektasi. Harga Terjangkau 🤑.
,Bagus banget Tapi sayang gk ada rain covernya
,"barangnya sesuai gambar, tp hitungan saya secara kapasitas ini gak sampai 50 liter, sekitar 40 an mungkin"
,"ranselnya bagus, anak saya suka, terima kasih..."
,"Mantap , ori"
,Mantap terbaik pokonya ga kecewa 🫰
,Ngga ada cover bag nya
,Kualitas produk: Ori bagus jg tasnya
,Kantongnya enak d pakai.engga rugi pesen😁🤝🤝🤝
,"Belum buka barangnya... kurir nya kurang bagus attitude nya, paket hanya di taruh di delan rumah tanpa memanggil penghuni rumah"
,pengiriman cepat barang bagus
,Baguss bgt sesuai ekspektasi
,"barang bagus,kualitas ok semoga awet"
,Brng nya bgs pngrmn nya cpt
,mantap bagus bgt tasnya 😍
,bagus banget sih ini barangnya
